rk,school,div,str,ofs,dfs,sos
1017,Gwynedd Mercy,D3,0.111,0.334,2.995,0.141
1018,John Jay,D3,0.108,0.329,3.037,0.128
1019,Husson,D3,0.108,0.329,3.037,0.131
1020,Bryn Mawr,D3,0.107,0.328,3.051,0.203
1021,Johnson C. Smith,D2,0.107,0.328,3.053,0.218
1022,Hollins,D3,0.107,0.327,3.058,0.215
1023,Salem St.,D3,0.106,0.326,3.067,0.200
1024,Lesley,D3,0.105,0.323,3.092,0.137
1025,Bryn Athyn,D3,0.098,0.313,3.193,0.115
1026,Bay Path,D3,0.096,0.310,3.228,0.109
1027,Lane,D2,0.095,0.309,3.236,0.191
1028,Nichols,D3,0.092,0.304,3.289,0.170
1029,St. Joseph's (Brkln),D3,0.092,0.304,3.291,0.096
1030,Eastern Nazarene,D3,0.092,0.303,3.295,0.155
1031,Clarks Summit,D3,0.092,0.303,3.303,0.143
1032,Sarah Lawrence,D3,0.092,0.303,3.304,0.093
1033,Brooklyn,D3,0.091,0.302,3.317,0.133
1034,Lyndon St.,D3,0.090,0.300,3.330,0.092
1035,Norwich,D3,0.089,0.299,3.347,0.143
1036,Mills,D3,0.087,0.295,3.388,0.331
1037,Mount Mary,D3,0.085,0.292,3.423,0.172
1038,Delaware Valley,D3,0.083,0.289,3.464,0.173
1039,Castleton,D3,0.080,0.283,3.533,0.083
1040,Cobleskill St.,D3,0.078,0.279,3.585,0.110
1041,Mitchell,D3,0.077,0.277,3.605,0.131
1042,Cazenovia,D3,0.073,0.270,3.702,0.187
1043,Elizabeth City St.,D2,0.073,0.269,3.711,0.208
1044,Albertus Magnus,D3,0.072,0.269,3.716,0.108
1045,Southern Vt.,D3,0.071,0.267,3.741,0.115
1046,Cedar Crest,D3,0.071,0.266,3.759,0.105
1047,Valley Forge,D3,0.066,0.257,3.884,0.115
1048,Cairn,D3,0.066,0.257,3.898,0.104
1049,Bowie St.,D2,0.065,0.256,3.909,0.207
1050,Staten Island,D3,0.065,0.255,3.917,0.102
1051,Mass. Maritime,D3,0.064,0.253,3.945,0.118
1052,Lehman,D3,0.064,0.253,3.960,0.105
1053,Elms,D3,0.063,0.252,3.971,0.119
1054,Me.-Presque Isle,D3,0.062,0.250,4.007,0.094
1055,Rosemont,D3,0.062,0.250,4.007,0.135
1056,Pine Manor,D3,0.061,0.248,4.040,0.099
1057,Centenary (NJ),D3,0.056,0.238,4.210,0.148
1058,CCNY,D3,0.056,0.237,4.219,0.098
1059,Old Westbury,D3,0.045,0.211,4.732,0.106
1060,Wilson,D3,0.039,0.197,5.078,0.179
1061,York (NY),D3,0.035,0.188,5.308,0.087
1062,Johnson St.,D3,0.034,0.183,5.463,0.097
1063,Purchase,D3,0.029,0.171,5.838,0.128
1064,Yeshiva,D3,0.028,0.169,5.932,0.102
1065,Wesleyan (GA),D3,0.028,0.166,6.017,0.245
1066,Rust,D3,0.026,0.162,6.175,0.238
1067,Green Mountain,D3,0.024,0.155,6.469,0.088
1068,Medgar Evers,D3,0.022,0.148,6.763,0.115
1069,Trinity Washington,D3,0.020,0.140,7.133,0.144
